time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8
0.801,3,340.000,1023.000,42.000,711.000,352.000,928.000,43.000,709.000,352.000,928.000,43.000,709.000,0.040,0.21,0.73,0.00,0.00,0.02,0.03,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
0.834,3,352.000,928.000,43.000,709.000,361.000,1008.000,45.000,710.000,361.000,1008.000,45.000,710.000,0.040,0.19,0.76,0.00,0.00,0.02,0.02,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
0.868,3,361.000,1008.000,45.000,710.000,339.000,615.000,59.000,698.000,339.000,615.000,59.000,698.000,0.170,0.29,0.60,0.00,0.00,0.05,0.05,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
0.901,3,339.000,615.000,59.000,698.000,347.000,1081.000,46.000,713.000,347.000,1081.000,46.000,713.000,0.440,0.21,0.75,0.00,0.00,0.02,0.02,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
0.934,3,347.000,1081.000,46.000,713.000,347.000,1081.000,46.000,713.000,347.000,1081.000,46.000,713.000,0.000,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
0.968,3,347.000,1081.000,46.000,713.000,362.000,613.000,47.000,602.000,362.000,613.000,47.000,602.000,0.206,0.26,0.59,0.00,0.00,0.06,0.07,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.001,3,362.000,613.000,47.000,602.000,364.000,984.000,46.000,709.000,364.000,984.000,46.000,709.000,0.420,0.22,0.73,0.00,0.00,0.02,0.03,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.034,3,364.000,984.000,46.000,709.000,334.000,614.000,48.000,712.000,334.000,614.000,48.000,712.000,0.163,0.31,0.58,0.00,0.00,0.05,0.06,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.068,3,334.000,614.000,48.000,712.000,335.000,615.000,48.000,703.000,335.000,615.000,48.000,703.000,0.005,0.31,0.57,0.00,0.00,0.04,0.06,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.101,3,335.000,615.000,48.000,703.000,342.000,610.000,53.000,691.000,342.000,610.000,53.000,691.000,0.017,0.31,0.57,0.00,0.00,0.05,0.06,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.134,3,342.000,610.000,53.000,691.000,305.000,601.000,51.000,722.000,305.000,601.000,51.000,722.000,0.056,0.32,0.58,0.00,0.00,0.04,0.05,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.168,3,305.000,601.000,51.000,722.000,343.000,626.000,59.000,595.000,343.000,626.000,59.000,595.000,0.104,0.30,0.58,0.00,0.00,0.06,0.05,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.201,3,343.000,626.000,59.000,595.000,342.000,723.000,35.000,537.000,342.000,723.000,35.000,537.000,0.125,0.26,0.62,0.00,0.00,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.235,3,342.000,723.000,35.000,537.000,345.000,881.000,35.000,631.000,345.000,881.000,35.000,631.000,0.152,0.25,0.64,0.01,0.00,0.05,0.04,0.01,0.01,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.268,3,345.000,881.000,35.000,631.000,377.000,866.000,67.000,616.000,377.000,866.000,67.000,616.000,0.042,0.26,0.61,0.01,0.00,0.06,0.04,0.01,0.01,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.301,3,377.000,866.000,67.000,616.000,393.000,891.000,75.000,579.000,393.000,891.000,75.000,579.000,0.041,0.25,0.62,0.01,0.00,0.06,0.04,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.335,3,393.000,891.000,75.000,579.000,398.000,875.000,75.000,573.000,398.000,875.000,75.000,573.000,0.014,0.26,0.60,0.01,0.01,0.06,0.05,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.368,3,398.000,875.000,75.000,573.000,398.000,877.000,71.000,583.000,398.000,877.000,71.000,583.000,0.008,0.24,0.62,0.01,0.01,0.06,0.05,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.401,3,398.000,877.000,71.000,583.000,397.000,867.000,72.000,584.000,397.000,867.000,72.000,584.000,0.007,0.25,0.62,0.01,0.01,0.06,0.05,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.435,3,397.000,867.000,72.000,584.000,396.000,867.000,73.000,579.000,396.000,867.000,73.000,579.000,0.003,0.26,0.61,0.01,0.01,0.06,0.05,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.468,3,396.000,867.000,73.000,579.000,397.000,871.000,72.000,579.000,397.000,871.000,72.000,579.000,0.003,0.25,0.62,0.01,0.01,0.06,0.05,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.502,3,397.000,871.000,72.000,579.000,399.000,866.000,71.000,587.000,399.000,866.000,71.000,587.000,0.008,0.25,0.62,0.01,0.01,0.06,0.05,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.535,3,399.000,866.000,71.000,587.000,376.000,864.000,63.000,603.000,376.000,864.000,63.000,603.000,0.025,0.24,0.61,0.01,0.00,0.08,0.05,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.568,3,376.000,864.000,63.000,603.000,379.000,857.000,67.000,603.000,379.000,857.000,67.000,603.000,0.007,0.24,0.61,0.01,0.01,0.08,0.05,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
