time,priority,object,text
1.000,3,2576415972824,Detection created
1.000,3,2576415972880,Detection created
1.000,3,2576415972936,Detection created
1.040,3,2576415973216,Detection created
1.040,3,2576415973160,Detection created
1.040,3,2576415973272,Detection created
1.040,3,2576415973328,Detection created
1.040,3,2576415961160,Detection created
1.040,3,2576415961216,Detection created
1.040,3,2576415961272,Detection created
1.080,3,2576415961608,Detection created
1.080,3,2576415961552,Detection created
1.080,3,2576415961664,Detection created
1.080,3,2576415961720,Detection created
1.080,3,2576415961776,Detection created
1.080,3,2576415961832,Detection created
1.120,3,2576415962168,Detection created
1.120,3,2576415962056,Detection created
1.120,3,2576415962112,Detection created
1.120,3,2576415962224,Detection created
1.120,3,2576415962280,Detection created
1.120,3,2576415962336,Detection created
1.160,3,2576415962728,Detection created
1.160,3,2576415962616,Detection created
1.160,3,2576415962672,Detection created
1.160,3,2576415962784,Detection created
1.160,3,2576415962840,Detection created
1.160,3,2576415962896,Detection created
1.160,0,2576427924168,car observed distance 76 meters moving towards us from left to right speed 70 kilometers per hour 
1.160,0,2576427924392,car observed distance 68 meters moving towards us from left to right speed 74 kilometers per hour 
1.200,3,2576415963400,Detection created
1.200,3,2576415963288,Detection created
1.200,3,2576415963344,Detection created
1.200,3,2576415963456,Detection created
1.200,3,2576415963512,Detection created
1.200,3,2576415963568,Detection created
1.240,3,2576415963848,Detection created
1.240,3,2576415963960,Detection created
1.240,3,2576415963904,Detection created
1.240,3,2576415964016,Detection created
1.240,3,2576415964072,Detection created
1.240,3,2576415964128,Detection created
1.240,0,2576416055480,car observed distance 98 meters moving towards us from left to right speed 77 kilometers per hour 
1.280,3,2576415964464,Detection created
1.280,3,2576415964576,Detection created
1.280,3,2576415964520,Detection created
1.280,3,2576415964632,Detection created
1.280,3,2576415964688,Detection created
1.280,3,2576415964744,Detection created
1.280,3,2576415964800,Detection created
1.280,3,2576415964856,Detection created
1.320,3,2576416043136,Detection created
1.320,3,2576416043248,Detection created
1.320,3,2576416043192,Detection created
1.320,3,2576416043304,Detection created
1.320,3,2576416043360,Detection created
1.320,3,2576416043416,Detection created
1.320,3,2576416043472,Detection created
1.320,3,2576416043528,Detection created
1.320,0,2576416056992,car observed distance 91 meters moving towards us from left to right speed 53 kilometers per hour 
1.360,3,2576416043864,Detection created
1.360,3,2576416043976,Detection created
1.360,3,2576416043920,Detection created
1.360,3,2576416044032,Detection created
1.360,3,2576416044088,Detection created
1.360,3,2576416044144,Detection created
1.400,3,2576416044312,Detection created
1.400,3,2576416044424,Detection created
1.400,3,2576416044368,Detection created
1.400,3,2576416044480,Detection created
1.400,3,2576416044536,Detection created
1.400,3,2576416044592,Detection created
1.440,3,2576416044872,Detection created
1.440,3,2576416044984,Detection created
1.440,3,2576416044928,Detection created
1.440,3,2576416045040,Detection created
1.440,3,2576416045096,Detection created
1.440,3,2576416045152,Detection created
1.440,3,2576416045208,Detection created
1.480,3,2576416045544,Detection created
1.480,3,2576416045600,Detection created
1.480,3,2576416045656,Detection created
1.480,3,2576416045712,Detection created
1.480,3,2576416045768,Detection created
1.480,3,2576416045824,Detection created
1.520,3,2576416046048,Detection created
1.520,3,2576416046160,Detection created
1.520,3,2576416046104,Detection created
1.520,3,2576416046216,Detection created
1.520,3,2576416046272,Detection created
1.520,3,2576416046328,Detection created
1.520,3,2576416046384,Detection created
1.560,3,2576416046720,Detection created
1.560,3,2576416046776,Detection created
1.560,3,2576416046832,Detection created
1.560,3,2576416046888,Detection created
1.560,3,2576416046944,Detection created
1.560,3,2576416047000,Detection created
1.600,3,2576418689208,Detection created
1.600,3,2576418689320,Detection created
1.600,3,2576418689264,Detection created
1.600,3,2576418689376,Detection created
1.600,3,2576418689432,Detection created
1.600,3,2576418689488,Detection created
1.600,3,2576418689544,Detection created
1.640,3,2576418689880,Detection created
1.640,3,2576418689936,Detection created
1.640,3,2576418689992,Detection created
1.640,3,2576418690048,Detection created
1.640,3,2576418690104,Detection created
1.640,3,2576418690160,Detection created
1.680,3,2576427987072,Detection created
1.680,3,2576358381328,Detection created
1.680,3,2576420523928,Detection created
1.680,3,2576420522864,Detection created
1.680,3,2576420521408,Detection created
