time,priority,object,text
1.000,3,2457824482584,Detection created
1.000,3,2457824482640,Detection created
1.000,3,2457824482696,Detection created
1.040,3,2457824483368,Detection created
1.040,3,2457824483200,Detection created
1.040,3,2457824483312,Detection created
1.040,3,2457824483424,Detection created
1.040,3,2457824483480,Detection created
1.040,3,2457824483536,Detection created
1.040,3,2457824483592,Detection created
1.080,3,2457824484208,Detection created
1.080,3,2457824484096,Detection created
1.080,3,2457824484152,Detection created
1.080,3,2457824484264,Detection created
1.080,3,2457824484320,Detection created
1.080,3,2457824484376,Detection created
1.120,3,2457824484880,Detection created
1.120,3,2457824484824,Detection created
1.120,3,2457824484936,Detection created
1.120,3,2457824484992,Detection created
1.120,3,2457824485048,Detection created
1.120,3,2457824485104,Detection created
1.160,3,2457826722144,Detection created
1.160,3,2457826722088,Detection created
1.160,3,2457826722200,Detection created
1.160,3,2457826722256,Detection created
1.160,3,2457826722312,Detection created
1.160,3,2457826722368,Detection created
1.160,0,2457833853504,car observed distance 76 meters moving towards us from left to right speed 70 kilometers per hour 
1.160,0,2457833853728,car observed distance 68 meters moving towards us from left to right speed 74 kilometers per hour 
1.200,3,2457826723040,Detection created
1.200,3,2457826722984,Detection created
1.200,3,2457826723096,Detection created
1.200,3,2457826723152,Detection created
1.200,3,2457826723208,Detection created
1.200,3,2457826723264,Detection created
1.240,3,2457826723768,Detection created
1.240,3,2457826723824,Detection created
1.240,3,2457826723880,Detection created
1.240,3,2457826723936,Detection created
1.240,3,2457826723992,Detection created
1.240,3,2457826724048,Detection created
1.240,0,2457833855352,car observed distance 98 meters moving towards us from left to right speed 77 kilometers per hour 
1.280,3,2457826724608,Detection created
1.280,3,2457826724664,Detection created
1.280,3,2457826724720,Detection created
1.280,3,2457826724776,Detection created
1.280,3,2457826724832,Detection created
1.280,3,2457826724888,Detection created
1.280,3,2457826724944,Detection created
1.280,3,2457826725000,Detection created
1.320,3,2457826725616,Detection created
1.320,3,2457826725672,Detection created
1.320,3,2457826725728,Detection created
1.320,3,2457826725784,Detection created
1.320,3,2457826725840,Detection created
1.320,3,2457826680904,Detection created
1.320,3,2457826680960,Detection created
1.320,3,2457826681016,Detection created
1.320,0,2457824592112,car observed distance 91 meters moving towards us from left to right speed 53 kilometers per hour 
1.360,3,2457826681576,Detection created
1.360,3,2457826681632,Detection created
1.360,3,2457826681688,Detection created
1.360,3,2457826681744,Detection created
1.360,3,2457826681800,Detection created
1.360,3,2457826681856,Detection created
1.400,3,2457826682248,Detection created
1.400,3,2457826682304,Detection created
1.400,3,2457826682360,Detection created
1.400,3,2457826682416,Detection created
1.400,3,2457826682472,Detection created
1.400,3,2457826682528,Detection created
1.440,3,2457826683032,Detection created
1.440,3,2457826683088,Detection created
1.440,3,2457826683144,Detection created
1.440,3,2457826683200,Detection created
1.440,3,2457826683256,Detection created
1.440,3,2457826683312,Detection created
1.440,3,2457826683368,Detection created
1.480,3,2457826683928,Detection created
1.480,3,2457826684040,Detection created
1.480,3,2457826683984,Detection created
1.480,3,2457826684096,Detection created
1.480,3,2457826684152,Detection created
1.480,3,2457826684208,Detection created
1.520,3,2457826684656,Detection created
1.520,3,2457826684712,Detection created
1.520,3,2457826684768,Detection created
1.520,3,2457826684824,Detection created
1.520,3,2457826684880,Detection created
1.520,3,2457826656328,Detection created
1.520,3,2457826656384,Detection created
1.560,3,2457826656944,Detection created
