time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,vx_min_p,vx_max_p,vy_min_p,vy_max_p,vx_min_c,vx_max_c,vy_min_c,vy_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8,confidence
0.120,7,204.000,301.000,180.000,239.000,207.000,302.000,178.000,240.000,206.189,301.730,178.541,239.730,0.000,0.000,0.000,0.000,32.432,10.811,-21.622,10.811,0.023,0.19,0.11,0.02,0.00,0.21,0.25,0.10,0.13,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14,0.39
0.160,3,524.994,735.679,388.051,538.848,535.000,733.000,392.000,545.000,531.316,734.743,390.847,543.370,20.466,41.692,41.692,52.199,63.485,21.340,40.278,71.227,0.032,0.02,0.00,0.01,0.02,0.08,0.26,0.11,0.51,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,1.00
0.160,1,571.237,830.656,590.377,721.480,564.000,833.000,601.000,724.000,566.678,833.577,598.476,722.984,-14.007,94.564,94.564,-0.327,-45.269,87.827,137.703,11.535,0.034,0.01,0.00,0.01,0.03,0.21,0.72,0.01,0.01,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,0.99
0.160,2,827.129,1005.813,316.559,462.232,831.000,1008.000,320.000,465.000,830.520,1008.238,319.712,465.519,66.868,69.493,69.493,101.553,72.470,66.718,71.434,95.492,0.019,0.19,0.03,0.00,0.00,0.10,0.32,0.16,0.19,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.98
0.160,5,421.662,605.868,281.003,382.470,435.000,607.000,290.000,406.000,430.229,608.080,287.145,396.438,36.001,95.650,95.650,-7.883,91.710,83.035,80.277,103.764,0.100,0.03,0.00,0.00,0.00,0.08,0.59,0.17,0.12,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11,0.84
0.160,4,605.734,756.199,210.232,306.988,604.000,756.000,206.000,305.000,605.784,756.910,208.412,305.838,67.849,51.776,51.776,2.518,47.022,41.149,16.381,-7.263,0.019,0.10,0.04,0.01,0.00,0.08,0.15,0.12,0.49,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47,0.63
0.160,8,427.000,591.000,255.000,335.000,432.000,589.000,253.000,333.000,430.649,589.541,253.541,333.541,0.000,0.000,0.000,0.000,54.054,-21.622,-21.622,-21.622,0.023,0.01,0.00,0.01,0.00,0.19,0.74,0.04,0.00,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01,0.50
0.160,6,315.404,432.674,197.899,279.904,309.000,437.000,197.000,283.000,311.830,435.802,196.642,281.485,16.313,33.483,33.483,-17.073,-16.727,47.468,-40.585,0.620,0.035,0.07,0.00,0.00,0.01,0.18,0.53,0.13,0.07,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06,0.46
0.160,7,207.486,302.162,177.676,240.162,206.000,298.000,178.000,240.000,206.773,299.275,177.670,240.165,32.432,10.811,10.811,10.811,6.535,-31.933,-10.559,5.279,0.017,0.18,0.09,0.02,0.00,0.21,0.24,0.11,0.15,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14,0.34
0.200,3,533.855,735.597,392.458,546.219,536.000,735.000,397.000,551.000,536.180,735.662,395.662,550.118,63.485,21.340,21.340,71.227,62.115,16.302,50.460,77.936,0.019,0.02,0.00,0.00,0.02,0.07,0.26,0.11,0.52,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,1.00
0.200,2,833.419,1010.906,322.569,469.339,835.000,1015.000,320.000,458.000,835.602,1014.350,322.477,464.920,72.470,66.718,66.718,95.492,67.892,71.667,52.584,42.837,0.032,0.19,0.02,0.00,0.00,0.09,0.34,0.16,0.19,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.98
0.200,1,564.867,837.090,603.984,723.445,561.000,837.000,609.000,724.000,561.939,838.645,609.225,723.957,-45.269,87.827,87.827,11.535,-52.411,75.311,135.993,11.858,0.015,0.01,0.00,0.01,0.03,0.22,0.72,0.00,0.00,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,0.98
0.200,5,433.897,611.402,290.356,400.588,434.000,607.000,297.000,407.000,435.628,610.526,295.433,405.968,91.710,83.035,83.035,103.764,79.325,56.207,92.202,111.618,0.036,0.02,0.00,0.00,0.00,0.06,0.61,0.21,0.10,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11,0.81
0.200,4,607.665,758.556,209.067,305.547,606.000,759.000,202.000,311.000,607.619,759.549,205.525,308.378,47.022,41.149,41.149,-7.263,34.706,36.973,-10.443,12.687,0.036,0.09,0.04,0.01,0.00,0.08,0.17,0.14,0.47,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47,0.53
0.200,8,432.811,588.676,252.676,332.676,439.000,593.000,255.000,333.000,437.882,591.560,254.115,332.670,54.054,-21.622,-21.622,-21.622,91.518,26.654,8.047,-10.559,0.025,0.00,0.00,0.01,0.00,0.15,0.78,0.05,0.01,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01,0.43
0.200,6,311.161,437.701,195.019,281.509,314.000,438.000,205.000,280.000,312.398,438.730,199.703,280.700,-16.727,47.468,47.468,0.620,-4.540,41.912,-0.276,-4.710,0.039,0.06,0.00,0.00,0.01,0.17,0.57,0.13,0.06,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06,0.33
0.200,7,207.034,297.998,177.248,240.376,207.000,297.000,181.000,238.000,207.099,296.906,179.597,238.869,6.535,-31.933,-31.933,5.279,4.595,-30.099,16.852,-11.709,0.027,0.15,0.08,0.02,0.00,0.18,0.27,0.12,0.17,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14,0.25
0.240,3,538.665,736.314,397.680,553.236,537.000,739.000,401.000,559.000,539.078,737.981,400.348,557.674,62.115,16.302,16.302,77.936,51.001,21.750,53.946,85.026,0.020,0.02,0.01,0.00,0.02,0.07,0.27,0.11,0.51,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,1.00
0.240,2,838.317,1017.216,324.581,466.633,833.000,1021.000,321.000,465.000,837.024,1020.541,323.847,466.676,67.892,71.667,71.667,42.837,46.375,74.124,37.359,33.873,0.022,0.19,0.03,0.00,0.00,0.08,0.36,0.15,0.19,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,1.00
