time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8
0.160,8,427.000,591.000,255.000,335.000,432.000,589.000,253.000,333.000,432.000,589.000,253.000,333.000,0.023,0.01,0.00,0.01,0.00,0.19,0.74,0.04,0.00,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01
0.160,6,313.000,434.000,197.000,281.000,309.000,437.000,197.000,283.000,309.000,437.000,197.000,283.000,0.020,0.07,0.00,0.00,0.01,0.18,0.53,0.13,0.07,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06
0.160,7,207.000,302.000,178.000,240.000,206.000,298.000,178.000,240.000,206.000,298.000,178.000,240.000,0.013,0.18,0.09,0.02,0.00,0.21,0.24,0.11,0.15,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14
0.200,3,535.000,733.000,392.000,545.000,536.000,735.000,397.000,551.000,536.000,735.000,397.000,551.000,0.022,0.02,0.00,0.00,0.02,0.07,0.26,0.11,0.52,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.200,2,831.000,1008.000,320.000,465.000,835.000,1015.000,320.000,458.000,835.000,1015.000,320.000,458.000,0.028,0.19,0.02,0.00,0.00,0.09,0.34,0.16,0.19,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.200,1,564.000,833.000,601.000,724.000,561.000,837.000,609.000,724.000,561.000,837.000,609.000,724.000,0.023,0.01,0.00,0.01,0.03,0.22,0.72,0.00,0.00,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04
0.200,5,435.000,607.000,290.000,406.000,434.000,607.000,297.000,407.000,434.000,607.000,297.000,407.000,0.019,0.02,0.00,0.00,0.00,0.06,0.61,0.21,0.10,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.200,4,604.000,756.000,206.000,305.000,606.000,759.000,202.000,311.000,606.000,759.000,202.000,311.000,0.033,0.09,0.04,0.01,0.00,0.08,0.17,0.14,0.47,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.200,8,432.000,589.000,253.000,333.000,439.000,593.000,255.000,333.000,439.000,593.000,255.000,333.000,0.024,0.00,0.00,0.01,0.00,0.15,0.78,0.05,0.01,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01
0.200,6,309.000,437.000,197.000,283.000,314.000,438.000,205.000,280.000,314.000,438.000,205.000,280.000,0.044,0.06,0.00,0.00,0.01,0.17,0.57,0.13,0.06,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06
0.200,7,206.000,298.000,178.000,240.000,207.000,297.000,181.000,238.000,207.000,297.000,181.000,238.000,0.026,0.15,0.08,0.02,0.00,0.18,0.27,0.12,0.17,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14
0.240,3,536.000,735.000,397.000,551.000,537.000,739.000,401.000,559.000,537.000,739.000,401.000,559.000,0.026,0.02,0.01,0.00,0.02,0.07,0.27,0.11,0.51,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.240,2,835.000,1015.000,320.000,458.000,833.000,1021.000,321.000,465.000,833.000,1021.000,321.000,465.000,0.026,0.19,0.03,0.00,0.00,0.08,0.36,0.15,0.19,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.240,1,561.000,837.000,609.000,724.000,569.000,840.000,613.000,723.000,569.000,840.000,613.000,723.000,0.021,0.01,0.00,0.01,0.03,0.23,0.70,0.01,0.00,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04
0.240,5,434.000,607.000,297.000,407.000,436.000,609.000,292.000,407.000,436.000,609.000,292.000,407.000,0.017,0.02,0.00,0.00,0.00,0.08,0.61,0.18,0.11,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.240,4,606.000,759.000,202.000,311.000,611.000,763.000,205.000,315.000,611.000,763.000,205.000,315.000,0.031,0.09,0.02,0.01,0.00,0.08,0.19,0.13,0.48,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.240,8,439.000,593.000,255.000,333.000,438.000,594.000,255.000,337.000,438.000,594.000,255.000,337.000,0.016,0.00,0.00,0.01,0.00,0.18,0.73,0.06,0.01,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01
0.240,6,314.000,438.000,205.000,280.000,308.000,443.000,196.000,287.000,308.000,443.000,196.000,287.000,0.076,0.07,0.01,0.00,0.01,0.15,0.56,0.12,0.07,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06
