time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance
0.36,5,437.66,609.34,278.64,372.93,445.00,630.00,297.00,413.00,441.90,621.27,289.24,396.06,49.23
0.36,4,616.99,770.36,203.46,321.98,618.00,771.00,205.00,327.00,617.40,770.48,204.34,324.97,5.38
0.36,5,441.90,621.27,289.24,396.06,446.00,608.00,258.00,338.00,443.40,616.41,277.81,374.81,41.44
0.36,1,577.68,841.29,630.22,723.18,581.00,839.00,639.00,723.00,579.53,839.57,635.42,722.81,9.66
0.36,6,311.32,445.81,200.61,285.49,323.00,445.00,210.00,283.00,319.01,445.98,206.72,284.38,15.21
0.40,3,549.04,752.38,424.47,582.55,546.00,760.00,420.00,579.00,547.28,757.26,421.80,580.48,9.99
0.40,2,849.21,1035.98,328.73,474.69,852.00,1043.00,331.00,482.00,851.12,1040.55,330.20,479.31,10.76
0.40,5,444.52,617.65,278.23,374.54,431.00,624.00,266.00,376.00,436.71,621.32,271.17,375.38,19.36
0.40,4,618.36,771.65,204.31,325.80,624.00,776.00,205.00,330.00,621.98,774.51,204.78,328.47,8.29
0.44,3,548.36,758.57,423.49,582.79,554.00,765.00,423.00,592.00,551.77,762.44,423.13,588.40,12.58
0.44,2,852.97,1042.70,331.46,480.86,850.00,1045.00,332.00,487.00,851.02,1043.98,331.75,484.59,7.22
0.44,5,437.56,622.75,271.32,375.13,451.00,633.00,299.00,417.00,445.79,629.02,288.26,400.76,52.96
0.44,4,623.13,775.83,204.77,329.44,635.00,784.00,207.00,329.00,630.38,780.77,206.12,329.12,14.59
0.44,5,445.79,629.02,288.26,400.76,446.00,613.00,258.00,339.00,445.87,622.94,276.77,377.31,40.61
0.48,3,553.02,763.96,424.87,591.01,564.00,767.00,425.00,599.00,559.85,765.90,424.98,596.00,13.91
0.48,2,852.85,1046.25,333.06,486.33,850.00,1051.00,334.00,499.00,851.16,1049.28,333.67,494.20,13.86
0.48,5,447.07,624.43,277.15,377.14,445.00,630.00,300.00,418.00,445.87,627.66,290.40,400.83,47.19
0.48,5,445.87,627.66,290.40,400.83,436.00,626.00,263.00,372.00,442.25,627.05,280.34,390.25,18.75
0.48,4,631.85,782.34,206.17,330.12,636.00,787.00,207.00,333.00,634.47,785.28,206.70,331.93,6.92
0.52,3,561.42,767.55,426.78,598.89,560.00,770.00,430.00,610.00,560.51,769.02,428.75,605.73,11.91
0.52,2,852.98,1051.75,335.05,496.32,855.00,1056.00,337.00,504.00,854.19,1054.32,336.24,501.04,9.22
0.52,4,636.10,787.02,206.77,333.03,642.00,790.00,210.00,332.00,639.71,788.82,208.75,332.38,7.43
0.52,5,443.30,628.69,280.86,390.61,445.00,630.00,261.00,365.00,444.28,629.45,269.39,375.82,32.47
0.52,5,444.28,629.45,269.39,375.82,450.00,632.00,304.00,420.00,446.38,630.38,282.06,391.99,38.15
0.56,3,562.10,770.79,430.68,608.99,560.00,770.00,441.00,616.00,560.82,770.33,437.07,613.34,12.67
0.56,2,856.11,1056.98,337.71,503.42,861.00,1070.00,341.00,502.00,859.16,1065.06,339.75,502.56,14.37
0.56,4,641.54,790.68,208.91,333.49,643.00,791.00,212.00,334.00,642.46,790.90,210.82,333.82,3.47
0.56,5,447.58,632.15,282.64,392.42,458.00,643.00,328.00,442.00,453.60,638.41,308.83,421.05,68.86
0.56,5,453.60,638.41,308.83,421.05,448.00,626.00,277.00,366.00,451.55,633.87,297.18,400.90,27.71
0.60,3,562.40,772.13,439.33,616.88,569.00,778.00,449.00,617.00,566.47,775.74,445.30,616.94,13.10
0.60,2,861.27,1068.12,341.35,504.98,869.00,1074.00,351.00,508.00,866.03,1071.73,347.31,506.84,14.02
0.60,5,452.95,635.76,298.36,401.69,461.00,646.00,328.00,443.00,457.60,641.67,315.47,425.54,52.49
0.60,4,644.39,792.84,211.06,334.98,646.00,792.00,213.00,333.00,645.37,792.30,212.25,333.75,3.31
0.60,5,457.60,641.67,315.47,425.54,449.00,629.00,275.00,371.00,454.45,637.03,300.66,405.58,39.35
0.60,6,320.62,449.11,209.27,285.26,363.00,485.00,221.00,283.00,330.88,443.06,202.10,259.61,56.81
