time,id,class_id,x,y,z,vx,vy,vz,sigma_00,sigma_01,sigma_02,sigma_03,sigma_04,sigma_05,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_50,sigma_51,sigma_52,sigma_53,sigma_54,sigma_55,x_pattern,y_pattern,z_pattern,pattern,status,collision_p,c_time,c_x,c_y,c_z,c_sigma_00,c_sigma_01,c_sigma_02,c_sigma_03,c_sigma_04,c_sigma_05,c_sigma_10,c_sigma_11,c_sigma_12,c_sigma_13,c_sigma_14,c_sigma_15,c_sigma_20,c_sigma_21,c_sigma_22,c_sigma_23,c_sigma_24,c_sigma_25,c_sigma_30,c_sigma_31,c_sigma_32,c_sigma_33,c_sigma_34,c_sigma_35,c_sigma_40,c_sigma_41,c_sigma_42,c_sigma_43,c_sigma_44,c_sigma_45,c_sigma_50,c_sigma_51,c_sigma_52,c_sigma_53,c_sigma_54,c_sigma_55
4.872,2335265343192,13,-0.226,0.181,-5.246,-0.029,-0.007,0.127,5.387,0.000,0.000,1.653,0.000,0.000,0.000,5.387,0.000,0.000,1.653,0.000,0.000,0.000,5.387,0.000,0.000,1.653,1.653,0.000,0.000,0.679,0.000,0.000,0.000,1.653,0.000,0.000,0.679,0.000,0.000,0.000,1.653,0.000,0.000,0.679,-0.142,0.174,-5.183,2335265343136,1,0.004,8.994,-0.487,0.182,-4.948,61.142,0.000,0.000,8.508,0.000,0.000,0.000,61.142,0.000,0.000,8.508,0.000,0.000,0.000,61.142,0.000,0.000,8.508,8.508,0.000,0.000,1.217,0.000,0.000,0.000,8.508,0.000,0.000,1.217,0.000,0.000,0.000,8.508,0.000,0.000,1.217
4.905,2335265343192,13,-0.224,0.181,-5.240,-0.028,-0.007,0.128,5.351,0.000,0.000,1.631,0.000,0.000,0.000,5.351,0.000,0.000,1.631,0.000,0.000,0.000,5.351,0.000,0.000,1.631,1.631,0.000,0.000,0.665,0.000,0.000,0.000,1.631,0.000,0.000,0.665,0.000,0.000,0.000,1.631,0.000,0.000,0.665,-0.138,0.174,-5.179,2335265343136,1,0.004,8.994,-0.487,0.182,-4.948,61.142,0.000,0.000,8.508,0.000,0.000,0.000,61.142,0.000,0.000,8.508,0.000,0.000,0.000,61.142,0.000,0.000,8.508,8.508,0.000,0.000,1.217,0.000,0.000,0.000,8.508,0.000,0.000,1.217,0.000,0.000,0.000,8.508,0.000,0.000,1.217
4.938,2335265343192,13,-0.223,0.180,-5.234,-0.027,-0.007,0.128,5.315,0.000,0.000,1.609,0.000,0.000,0.000,5.315,0.000,0.000,1.609,0.000,0.000,0.000,5.315,0.000,0.000,1.609,1.609,0.000,0.000,0.652,0.000,0.000,0.000,1.609,0.000,0.000,0.652,0.000,0.000,0.000,1.609,0.000,0.000,0.652,-0.134,0.174,-5.169,2335265343136,1,0.004,8.994,-0.487,0.182,-4.948,61.142,0.000,0.000,8.508,0.000,0.000,0.000,61.142,0.000,0.000,8.508,0.000,0.000,0.000,61.142,0.000,0.000,8.508,8.508,0.000,0.000,1.217,0.000,0.000,0.000,8.508,0.000,0.000,1.217,0.000,0.000,0.000,8.508,0.000,0.000,1.217
4.972,2335265343192,13,-0.221,0.180,-5.228,-0.027,-0.007,0.129,5.280,0.000,0.000,1.588,0.000,0.000,0.000,5.280,0.000,0.000,1.588,0.000,0.000,0.000,5.280,0.000,0.000,1.588,1.588,0.000,0.000,0.639,0.000,0.000,0.000,1.588,0.000,0.000,0.639,0.000,0.000,0.000,1.588,0.000,0.000,0.639,-0.129,0.174,-5.166,2335265343136,1,0.004,8.994,-0.487,0.182,-4.948,61.142,0.000,0.000,8.508,0.000,0.000,0.000,61.142,0.000,0.000,8.508,0.000,0.000,0.000,61.142,0.000,0.000,8.508,8.508,0.000,0.000,1.217,0.000,0.000,0.000,8.508,0.000,0.000,1.217,0.000,0.000,0.000,8.508,0.000,0.000,1.217
5.005,2335265343192,13,-0.220,0.180,-5.223,-0.026,-0.007,0.129,5.246,0.000,0.000,1.567,0.000,0.000,0.000,5.246,0.000,0.000,1.567,0.000,0.000,0.000,5.246,0.000,0.000,1.567,1.567,0.000,0.000,0.626,0.000,0.000,0.000,1.567,0.000,0.000,0.626,0.000,0.000,0.000,1.567,0.000,0.000,0.626,-0.123,0.175,-5.168,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.038,2335265343192,13,-0.218,0.179,-5.217,-0.025,-0.007,0.130,5.211,0.000,0.000,1.546,0.000,0.000,0.000,5.211,0.000,0.000,1.546,0.000,0.000,0.000,5.211,0.000,0.000,1.546,1.546,0.000,0.000,0.614,0.000,0.000,0.000,1.546,0.000,0.000,0.614,0.000,0.000,0.000,1.546,0.000,0.000,0.614,-0.117,0.175,-5.168,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.072,2335265343192,13,-0.216,0.179,-5.212,-0.024,-0.007,0.130,5.178,0.000,0.000,1.526,0.000,0.000,0.000,5.178,0.000,0.000,1.526,0.000,0.000,0.000,5.178,0.000,0.000,1.526,1.526,0.000,0.000,0.602,0.000,0.000,0.000,1.526,0.000,0.000,0.602,0.000,0.000,0.000,1.526,0.000,0.000,0.602,-0.111,0.175,-5.171,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.105,2335265343192,13,-0.214,0.179,-5.206,-0.023,-0.007,0.130,5.144,0.000,0.000,1.507,0.000,0.000,0.000,5.144,0.000,0.000,1.507,0.000,0.000,0.000,5.144,0.000,0.000,1.507,1.507,0.000,0.000,0.590,0.000,0.000,0.000,1.507,0.000,0.000,0.590,0.000,0.000,0.000,1.507,0.000,0.000,0.590,-0.108,0.176,-5.162,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.138,2335265343192,13,-0.212,0.178,-5.200,-0.023,-0.007,0.131,5.112,0.000,0.000,1.487,0.000,0.000,0.000,5.112,0.000,0.000,1.487,0.000,0.000,0.000,5.112,0.000,0.000,1.487,1.487,0.000,0.000,0.579,0.000,0.000,0.000,1.487,0.000,0.000,0.579,0.000,0.000,0.000,1.487,0.000,0.000,0.579,-0.105,0.175,-5.149,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.172,2335265343192,13,-0.210,0.178,-5.194,-0.022,-0.007,0.131,5.079,0.000,0.000,1.468,0.000,0.000,0.000,5.079,0.000,0.000,1.468,0.000,0.000,0.000,5.079,0.000,0.000,1.468,1.468,0.000,0.000,0.568,0.000,0.000,0.000,1.468,0.000,0.000,0.568,0.000,0.000,0.000,1.468,0.000,0.000,0.568,-0.101,0.175,-5.126,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.205,2335265343192,13,-0.208,0.178,-5.188,-0.021,-0.007,0.132,5.047,0.000,0.000,1.450,0.000,0.000,0.000,5.047,0.000,0.000,1.450,0.000,0.000,0.000,5.047,0.000,0.000,1.450,1.450,0.000,0.000,0.557,0.000,0.000,0.000,1.450,0.000,0.000,0.557,0.000,0.000,0.000,1.450,0.000,0.000,0.557,-0.098,0.174,-5.099,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.239,2335265343192,13,-0.206,0.177,-5.180,-0.020,-0.008,0.133,5.015,0.000,0.000,1.432,0.000,0.000,0.000,5.015,0.000,0.000,1.432,0.000,0.000,0.000,5.015,0.000,0.000,1.432,1.432,0.000,0.000,0.547,0.000,0.000,0.000,1.432,0.000,0.000,0.547,0.000,0.000,0.000,1.432,0.000,0.000,0.547,-0.096,0.172,-5.074,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.272,2335265343192,13,-0.203,0.177,-5.173,-0.019,-0.008,0.134,4.984,0.000,0.000,1.414,0.000,0.000,0.000,4.984,0.000,0.000,1.414,0.000,0.000,0.000,4.984,0.000,0.000,1.414,1.414,0.000,0.000,0.536,0.000,0.000,0.000,1.414,0.000,0.000,0.536,0.000,0.000,0.000,1.414,0.000,0.000,0.536,-0.094,0.171,-5.045,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.305,2335265343192,13,-0.201,0.176,-5.164,-0.019,-0.008,0.135,4.953,0.000,0.000,1.396,0.000,0.000,0.000,4.953,0.000,0.000,1.396,0.000,0.000,0.000,4.953,0.000,0.000,1.396,1.396,0.000,0.000,0.526,0.000,0.000,0.000,1.396,0.000,0.000,0.526,0.000,0.000,0.000,1.396,0.000,0.000,0.526,-0.092,0.170,-5.010,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.339,2335265343192,13,-0.199,0.176,-5.155,-0.018,-0.008,0.136,4.923,0.000,0.000,1.379,0.000,0.000,0.000,4.923,0.000,0.000,1.379,0.000,0.000,0.000,4.923,0.000,0.000,1.379,1.379,0.000,0.000,0.517,0.000,0.000,0.000,1.379,0.000,0.000,0.517,0.000,0.000,0.000,1.379,0.000,0.000,0.517,-0.091,0.169,-4.985,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.372,2335265343192,13,-0.197,0.175,-5.146,-0.017,-0.008,0.137,4.893,0.000,0.000,1.362,0.000,0.000,0.000,4.893,0.000,0.000,1.362,0.000,0.000,0.000,4.893,0.000,0.000,1.362,1.362,0.000,0.000,0.507,0.000,0.000,0.000,1.362,0.000,0.000,0.507,0.000,0.000,0.000,1.362,0.000,0.000,0.507,-0.091,0.169,-4.955,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.405,2335265343192,13,-0.195,0.175,-5.136,-0.016,-0.008,0.139,4.863,0.000,0.000,1.345,0.000,0.000,0.000,4.863,0.000,0.000,1.345,0.000,0.000,0.000,4.863,0.000,0.000,1.345,1.345,0.000,0.000,0.498,0.000,0.000,0.000,1.345,0.000,0.000,0.498,0.000,0.000,0.000,1.345,0.000,0.000,0.498,-0.091,0.168,-4.924,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.439,2335265343192,13,-0.193,0.175,-5.126,-0.016,-0.008,0.140,4.834,0.000,0.000,1.329,0.000,0.000,0.000,4.834,0.000,0.000,1.329,0.000,0.000,0.000,4.834,0.000,0.000,1.329,1.329,0.000,0.000,0.489,0.000,0.000,0.000,1.329,0.000,0.000,0.489,0.000,0.000,0.000,1.329,0.000,0.000,0.489,-0.091,0.167,-4.895,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.472,2335265343192,13,-0.191,0.174,-5.115,-0.015,-0.008,0.142,4.805,0.000,0.000,1.313,0.000,0.000,0.000,4.805,0.000,0.000,1.313,0.000,0.000,0.000,4.805,0.000,0.000,1.313,1.313,0.000,0.000,0.480,0.000,0.000,0.000,1.313,0.000,0.000,0.480,0.000,0.000,0.000,1.313,0.000,0.000,0.480,-0.091,0.166,-4.867,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.506,2335265343192,13,-0.189,0.174,-5.104,-0.014,-0.008,0.144,4.776,0.000,0.000,1.297,0.000,0.000,0.000,4.776,0.000,0.000,1.297,0.000,0.000,0.000,4.776,0.000,0.000,1.297,1.297,0.000,0.000,0.471,0.000,0.000,0.000,1.297,0.000,0.000,0.471,0.000,0.000,0.000,1.297,0.000,0.000,0.471,-0.091,0.166,-4.846,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.539,2335265343192,13,-0.187,0.173,-5.093,-0.014,-0.008,0.146,4.748,0.000,0.000,1.282,0.000,0.000,0.000,4.748,0.000,0.000,1.282,0.000,0.000,0.000,4.748,0.000,0.000,1.282,1.282,0.000,0.000,0.463,0.000,0.000,0.000,1.282,0.000,0.000,0.463,0.000,0.000,0.000,1.282,0.000,0.000,0.463,-0.092,0.165,-4.826,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.572,2335265343192,13,-0.186,0.173,-5.081,-0.013,-0.008,0.147,4.720,0.000,0.000,1.267,0.000,0.000,0.000,4.720,0.000,0.000,1.267,0.000,0.000,0.000,4.720,0.000,0.000,1.267,1.267,0.000,0.000,0.455,0.000,0.000,0.000,1.267,0.000,0.000,0.455,0.000,0.000,0.000,1.267,0.000,0.000,0.455,-0.093,0.164,-4.806,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.606,2335265343192,13,-0.184,0.172,-5.070,-0.013,-0.008,0.149,4.692,0.000,0.000,1.252,0.000,0.000,0.000,4.692,0.000,0.000,1.252,0.000,0.000,0.000,4.692,0.000,0.000,1.252,1.252,0.000,0.000,0.447,0.000,0.000,0.000,1.252,0.000,0.000,0.447,0.000,0.000,0.000,1.252,0.000,0.000,0.447,-0.093,0.164,-4.787,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.639,2335265343192,13,-0.182,0.172,-5.058,-0.012,-0.008,0.151,4.665,0.000,0.000,1.237,0.000,0.000,0.000,4.665,0.000,0.000,1.237,0.000,0.000,0.000,4.665,0.000,0.000,1.237,1.237,0.000,0.000,0.439,0.000,0.000,0.000,1.237,0.000,0.000,0.439,0.000,0.000,0.000,1.237,0.000,0.000,0.439,-0.093,0.163,-4.773,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.672,2335265343192,13,-0.180,0.171,-5.046,-0.011,-0.008,0.153,4.637,0.000,0.000,1.223,0.000,0.000,0.000,4.637,0.000,0.000,1.223,0.000,0.000,0.000,4.637,0.000,0.000,1.223,1.223,0.000,0.000,0.431,0.000,0.000,0.000,1.223,0.000,0.000,0.431,0.000,0.000,0.000,1.223,0.000,0.000,0.431,-0.092,0.163,-4.759,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.706,2335265343192,13,-0.179,0.171,-5.034,-0.011,-0.008,0.155,4.611,0.000,0.000,1.209,0.000,0.000,0.000,4.611,0.000,0.000,1.209,0.000,0.000,0.000,4.611,0.000,0.000,1.209,1.209,0.000,0.000,0.424,0.000,0.000,0.000,1.209,0.000,0.000,0.424,0.000,0.000,0.000,1.209,0.000,0.000,0.424,-0.091,0.162,-4.751,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.739,2335265343192,13,-0.177,0.170,-5.023,-0.010,-0.008,0.156,4.584,0.000,0.000,1.195,0.000,0.000,0.000,4.584,0.000,0.000,1.195,0.000,0.000,0.000,4.584,0.000,0.000,1.195,1.195,0.000,0.000,0.416,0.000,0.000,0.000,1.195,0.000,0.000,0.416,0.000,0.000,0.000,1.195,0.000,0.000,0.416,-0.090,0.162,-4.747,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.772,2335265343192,13,-0.175,0.170,-5.011,-0.010,-0.008,0.158,4.558,0.000,0.000,1.181,0.000,0.000,0.000,4.558,0.000,0.000,1.181,0.000,0.000,0.000,4.558,0.000,0.000,1.181,1.181,0.000,0.000,0.409,0.000,0.000,0.000,1.181,0.000,0.000,0.409,0.000,0.000,0.000,1.181,0.000,0.000,0.409,-0.089,0.162,-4.743,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.806,2335265343192,13,-0.174,0.169,-5.000,-0.009,-0.008,0.159,4.532,0.000,0.000,1.168,0.000,0.000,0.000,4.532,0.000,0.000,1.168,0.000,0.000,0.000,4.532,0.000,0.000,1.168,1.168,0.000,0.000,0.402,0.000,0.000,0.000,1.168,0.000,0.000,0.402,0.000,0.000,0.000,1.168,0.000,0.000,0.402,-0.087,0.162,-4.738,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.839,2335265343192,13,-0.172,0.169,-4.989,-0.009,-0.008,0.161,4.507,0.000,0.000,1.154,0.000,0.000,0.000,4.507,0.000,0.000,1.154,0.000,0.000,0.000,4.507,0.000,0.000,1.154,1.154,0.000,0.000,0.395,0.000,0.000,0.000,1.154,0.000,0.000,0.395,0.000,0.000,0.000,1.154,0.000,0.000,0.395,-0.085,0.162,-4.734,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.873,2335265343192,13,-0.170,0.169,-4.978,-0.008,-0.008,0.162,4.482,0.000,0.000,1.141,0.000,0.000,0.000,4.482,0.000,0.000,1.141,0.000,0.000,0.000,4.482,0.000,0.000,1.141,1.141,0.000,0.000,0.389,0.000,0.000,0.000,1.141,0.000,0.000,0.389,0.000,0.000,0.000,1.141,0.000,0.000,0.389,-0.083,0.162,-4.734,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.906,2335265343192,13,-0.169,0.168,-4.967,-0.008,-0.008,0.164,4.457,0.000,0.000,1.129,0.000,0.000,0.000,4.457,0.000,0.000,1.129,0.000,0.000,0.000,4.457,0.000,0.000,1.129,1.129,0.000,0.000,0.382,0.000,0.000,0.000,1.129,0.000,0.000,0.382,0.000,0.000,0.000,1.129,0.000,0.000,0.382,-0.082,0.163,-4.738,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.939,2335265343192,13,-0.167,0.168,-4.957,-0.007,-0.009,0.165,4.432,0.000,0.000,1.116,0.000,0.000,0.000,4.432,0.000,0.000,1.116,0.000,0.000,0.000,4.432,0.000,0.000,1.116,1.116,0.000,0.000,0.376,0.000,0.000,0.000,1.116,0.000,0.000,0.376,0.000,0.000,0.000,1.116,0.000,0.000,0.376,-0.079,0.164,-4.742,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
5.973,2335265343192,13,-0.165,0.167,-4.947,-0.007,-0.009,0.166,4.408,0.000,0.000,1.104,0.000,0.000,0.000,4.408,0.000,0.000,1.104,0.000,0.000,0.000,4.408,0.000,0.000,1.104,1.104,0.000,0.000,0.370,0.000,0.000,0.000,1.104,0.000,0.000,0.370,0.000,0.000,0.000,1.104,0.000,0.000,0.370,-0.077,0.164,-4.747,2335265343136,1,0.006,9.995,-0.349,0.143,-4.577,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,0.000,0.000,0.000,36.473,0.000,0.000,4.691,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626,0.000,0.000,0.000,4.691,0.000,0.000,0.626
6.006,2335265343192,13,-0.163,0.167,-4.937,-0.006,-0.009,0.167,4.383,0.000,0.000,1.092,0.000,0.000,0.000,4.383,0.000,0.000,1.092,0.000,0.000,0.000,4.383,0.000,0.000,1.092,1.092,0.000,0.000,0.364,0.000,0.000,0.000,1.092,0.000,0.000,0.364,0.000,0.000,0.000,1.092,0.000,0.000,0.364,-0.074,0.165,-4.757,2335265343136,1,0.010,10.996,-0.195,0.125,-4.104,24.331,0.000,0.000,2.906,0.000,0.000,0.000,24.331,0.000,0.000,2.906,0.000,0.000,0.000,24.331,0.000,0.000,2.906,2.906,0.000,0.000,0.364,0.000,0.000,0.000,2.906,0.000,0.000,0.364,0.000,0.000,0.000,2.906,0.000,0.000,0.364
6.039,2335265343192,13,-0.162,0.167,-4.928,-0.006,-0.009,0.168,4.360,0.000,0.000,1.080,0.000,0.000,0.000,4.360,0.000,0.000,1.080,0.000,0.000,0.000,4.360,0.000,0.000,1.080,1.080,0.000,0.000,0.358,0.000,0.000,0.000,1.080,0.000,0.000,0.358,0.000,0.000,0.000,1.080,0.000,0.000,0.358,-0.071,0.166,-4.774,2335265343136,1,0.010,10.996,-0.195,0.125,-4.104,24.331,0.000,0.000,2.906,0.000,0.000,0.000,24.331,0.000,0.000,2.906,0.000,0.000,0.000,24.331,0.000,0.000,2.906,2.906,0.000,0.000,0.364,0.000,0.000,0.000,2.906,0.000,0.000,0.364,0.000,0.000,0.000,2.906,0.000,0.000,0.364
