time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,vx_min,vx_max,vy_min,vy_max,sigma_x_min_00,sigma_x_min_01,sigma_x_min_10,sigma_x_min_11,sigma_x_max_00,sigma_x_max_01,sigma_x_max_10,sigma_x_max_11,sigma_y_min_00,sigma_y_min_01,sigma_y_min_10,sigma_y_min_11,sigma_y_max_00,sigma_y_max_01,sigma_y_max_10,sigma_y_max_11,x_center,y_center,vx_center,vy_center,vx_center_var,vy_center_var,retention_count,body,matched,x_min_d,x_max_d,y_min_d,y_max_d
0.333,2175804665248,19,0.353,15.371,564.688,23.452,310.179,2,1,2,1,37.460,-191.872,27.211,175.124,92.679,450.239,450.239,3011.608,92.679,450.239,450.239,3011.608,92.679,450.239,450.239,3011.608,92.679,450.239,450.239,3011.608,290.030,166.816,-77.206,101.167,185.358,185.358,1,2175847561816,False,15.000,562.000,18.000,316.000
0.367,2175847562376,19,0.353,20.605,580.606,33.366,292.779,2,1,1,1,45.607,-131.663,52.767,97.121,137.554,652.645,652.645,3924.562,137.554,652.645,652.645,3924.562,137.554,652.645,652.645,3924.562,137.554,652.645,652.645,3924.562,300.606,163.073,-43.028,74.944,275.107,275.107,2,2175847562656,False,15.000,562.000,18.000,316.000
0.367,2175804665248,19,0.353,16.620,558.292,24.359,316.017,2,1,2,1,37.460,-191.872,27.211,175.124,126.141,550.625,550.625,3012.608,126.141,550.625,550.625,3012.608,126.141,550.625,550.625,3012.608,126.141,550.625,550.625,3012.608,287.456,170.188,-77.206,101.167,252.283,252.283,2,2175847561816,False,15.000,562.000,18.000,316.000
0.400,2175847562376,19,0.353,22.125,576.218,35.125,296.017,2,1,1,1,45.607,-131.663,52.767,97.121,185.524,783.464,783.464,3925.562,185.524,783.464,783.464,3925.562,185.524,783.464,783.464,3925.562,185.524,783.464,783.464,3925.562,299.171,165.571,-43.028,74.944,371.048,371.048,3,2175847562656,False,15.000,562.000,18.000,316.000
0.400,2175804665248,19,0.353,17.869,551.896,25.266,321.854,2,1,2,1,37.460,-191.872,27.211,175.124,166.297,651.046,651.046,3013.608,166.297,651.046,651.046,3013.608,166.297,651.046,651.046,3013.608,166.297,651.046,651.046,3013.608,284.883,173.560,-77.206,101.167,332.594,332.594,3,2175847561816,False,15.000,562.000,18.000,316.000
0.433,2175847562376,19,0.353,23.645,571.829,36.884,299.254,2,1,1,1,45.607,-131.663,52.767,97.121,242.217,914.316,914.316,3926.562,242.217,914.316,914.316,3926.562,242.217,914.316,914.316,3926.562,242.217,914.316,914.316,3926.562,297.737,168.069,-43.028,74.944,484.433,484.433,4,2175847562656,False,15.000,562.000,18.000,316.000
0.433,2175804665248,19,0.353,19.117,545.501,26.173,327.692,2,1,2,1,37.460,-191.872,27.211,175.124,213.149,751.499,751.499,3014.608,213.149,751.499,751.499,3014.608,213.149,751.499,751.499,3014.608,213.149,751.499,751.499,3014.608,282.309,176.932,-77.206,101.167,426.297,426.297,4,2175847561816,False,15.000,562.000,18.000,316.000
0.467,2175847562376,19,0.353,25.166,567.440,38.643,302.491,2,1,1,1,45.607,-131.663,52.767,97.121,307.634,1045.201,1045.201,3927.562,307.634,1045.201,1045.201,3927.562,307.634,1045.201,1045.201,3927.562,307.634,1045.201,1045.201,3927.562,296.303,170.567,-43.028,74.944,615.268,615.268,5,2175847562656,False,15.000,562.000,18.000,316.000
0.467,2175804665248,19,0.353,20.366,539.105,27.080,333.529,2,1,2,1,37.460,-191.872,27.211,175.124,266.698,851.986,851.986,3015.608,266.698,851.986,851.986,3015.608,266.698,851.986,851.986,3015.608,266.698,851.986,851.986,3015.608,279.736,180.305,-77.206,101.167,533.396,533.396,5,2175847561816,False,15.000,562.000,18.000,316.000
0.500,2175847562376,19,0.353,26.686,563.051,40.402,305.729,2,1,1,1,45.607,-131.663,52.767,97.121,381.778,1176.120,1176.120,3928.562,381.778,1176.120,1176.120,3928.562,381.778,1176.120,1176.120,3928.562,381.778,1176.120,1176.120,3928.562,294.869,173.065,-43.028,74.944,763.556,763.556,6,2175847562656,False,15.000,562.000,18.000,316.000
0.500,2175804665248,19,0.353,21.615,532.709,27.987,339.367,2,1,2,1,37.460,-191.872,27.211,175.124,326.948,952.506,952.506,3016.608,326.948,952.506,952.506,3016.608,326.948,952.506,952.506,3016.608,326.948,952.506,952.506,3016.608,277.162,183.677,-77.206,101.167,653.896,653.896,6,2175847561816,False,15.000,562.000,18.000,316.000
0.533,2175847562376,19,0.353,28.206,558.663,42.161,308.966,2,1,1,1,45.607,-131.663,52.767,97.121,464.651,1307.072,1307.072,3929.562,464.651,1307.072,1307.072,3929.562,464.651,1307.072,1307.072,3929.562,464.651,1307.072,1307.072,3929.562,293.434,175.563,-43.028,74.944,929.302,929.302,7,2175847562656,False,15.000,562.000,18.000,316.000
0.533,2175804665248,19,0.353,22.864,526.313,28.894,345.204,2,1,2,1,37.460,-191.872,27.211,175.124,393.900,1053.060,1053.060,3017.608,393.900,1053.060,1053.060,3017.608,393.900,1053.060,1053.060,3017.608,393.900,1053.060,1053.060,3017.608,274.588,187.049,-77.206,101.167,787.800,787.800,7,2175847561816,False,15.000,562.000,18.000,316.000
0.567,2175847562376,19,0.353,29.726,554.274,43.919,312.203,2,1,1,1,45.607,-131.663,52.767,97.121,556.255,1438.057,1438.057,3930.562,556.255,1438.057,1438.057,3930.562,556.255,1438.057,1438.057,3930.562,556.255,1438.057,1438.057,3930.562,292.000,178.061,-43.028,74.944,1112.511,1112.511,8,2175847562656,False,15.000,562.000,18.000,316.000
0.567,2175804665248,19,0.353,24.112,519.918,29.801,351.041,2,1,2,1,37.460,-191.872,27.211,175.124,467.557,1153.647,1153.647,3018.608,467.557,1153.647,1153.647,3018.608,467.557,1153.647,1153.647,3018.608,467.557,1153.647,1153.647,3018.608,272.015,190.421,-77.206,101.167,935.114,935.114,8,2175847561816,False,15.000,562.000,18.000,316.000
0.600,2175847562376,19,0.353,31.247,549.885,45.678,315.441,1,1,1,1,45.607,-131.663,52.767,97.121,656.593,1569.076,1569.076,3931.562,656.593,1569.076,1569.076,3931.562,656.593,1569.076,1569.076,3931.562,656.593,1569.076,1569.076,3931.562,290.566,180.560,-43.028,74.944,1313.186,1313.186,9,2175847562656,False,15.000,562.000,18.000,316.000
0.600,2175804665248,19,0.353,25.361,513.522,30.708,356.879,2,1,1,1,37.460,-191.872,27.211,175.124,547.921,1254.267,1254.267,3019.608,547.921,1254.267,1254.267,3019.608,547.921,1254.267,1254.267,3019.608,547.921,1254.267,1254.267,3019.608,269.441,193.794,-77.206,101.167,1095.841,1095.841,9,2175847561816,False,15.000,562.000,18.000,316.000
0.633,2175847562376,19,0.353,32.767,545.496,47.437,318.678,1,1,1,1,45.607,-131.663,52.767,97.121,765.667,1700.128,1700.128,3932.562,765.667,1700.128,1700.128,3932.562,765.667,1700.128,1700.128,3932.562,765.667,1700.128,1700.128,3932.562,289.132,183.058,-43.028,74.944,1531.333,1531.333,10,2175847562656,False,15.000,562.000,18.000,316.000
0.633,2175804665248,19,0.353,26.610,507.126,31.615,362.716,2,1,1,1,37.460,-191.872,27.211,175.124,634.994,1354.921,1354.921,3020.608,634.994,1354.921,1354.921,3020.608,634.994,1354.921,1354.921,3020.608,634.994,1354.921,1354.921,3020.608,266.868,197.166,-77.206,101.167,1269.987,1269.987,10,2175847561816,False,15.000,562.000,18.000,316.000
0.667,2175847562376,19,0.353,34.287,541.107,49.196,321.916,1,1,1,1,45.607,-131.663,52.767,97.121,883.478,1831.214,1831.214,3933.562,883.478,1831.214,1831.214,3933.562,883.478,1831.214,1831.214,3933.562,883.478,1831.214,1831.214,3933.562,287.697,185.556,-43.028,74.944,1766.956,1766.956,11,2175847562656,False,15.000,562.000,18.000,316.000
0.667,2175804665248,19,0.337,82.111,336.163,153.735,288.084,1,1,1,1,145.821,-520.568,269.313,14.398,156.933,313.446,313.446,740.337,156.933,313.446,313.446,740.337,156.933,313.446,313.446,740.337,156.933,313.446,313.446,740.337,209.137,220.909,-187.373,141.856,313.865,313.865,0,2175847561816,True,97.000,291.000,187.000,266.000
0.700,2175847562376,19,0.353,35.807,536.719,50.955,325.153,1,1,1,1,45.607,-131.663,52.767,97.121,1010.030,1962.332,1962.332,3934.562,1010.030,1962.332,1962.332,3934.562,1010.030,1962.332,1962.332,3934.562,1010.030,1962.332,1962.332,3934.562,286.263,188.054,-43.028,74.944,2020.059,2020.059,12,2175847562656,False,15.000,562.000,18.000,316.000
0.700,2175804665248,19,0.337,86.972,318.810,162.712,288.564,1,1,1,1,145.821,-520.568,269.313,14.398,178.752,338.124,338.124,741.337,178.752,338.124,338.124,741.337,178.752,338.124,338.124,741.337,178.752,338.124,338.124,741.337,202.891,225.638,-187.373,141.856,357.503,357.503,1,2175847561816,False,97.000,291.000,187.000,266.000
0.733,2175847562376,19,0.353,37.328,532.330,52.714,328.390,1,1,1,1,45.607,-131.663,52.767,97.121,1145.323,2093.484,2093.484,3935.562,1145.323,2093.484,2093.484,3935.562,1145.323,2093.484,2093.484,3935.562,1145.323,2093.484,2093.484,3935.562,284.829,190.552,-43.028,74.944,2290.647,2290.647,13,2175847562656,False,15.000,562.000,18.000,316.000
0.733,2175804665248,19,0.337,91.833,301.458,171.689,289.043,1,1,1,1,145.821,-520.568,269.313,14.398,202.217,362.835,362.835,742.337,202.217,362.835,362.835,742.337,202.217,362.835,362.835,742.337,202.217,362.835,362.835,742.337,196.645,230.366,-187.373,141.856,404.434,404.434,2,2175847561816,False,97.000,291.000,187.000,266.000
0.767,2175847562376,19,0.353,38.848,527.941,54.473,331.628,1,1,1,1,45.607,-131.663,52.767,97.121,1289.362,2224.670,2224.670,3936.562,1289.362,2224.670,2224.670,3936.562,1289.362,2224.670,2224.670,3936.562,1289.362,2224.670,2224.670,3936.562,283.394,193.050,-43.028,74.944,2578.724,2578.724,14,2175847562656,False,15.000,562.000,18.000,316.000
0.767,2175804665248,19,0.337,96.693,284.106,180.667,289.523,1,1,1,1,145.821,-520.568,269.313,14.398,227.331,387.579,387.579,743.337,227.331,387.579,387.579,743.337,227.331,387.579,387.579,743.337,227.331,387.579,387.579,743.337,190.400,235.095,-187.373,141.856,454.661,454.661,3,2175847561816,False,97.000,291.000,187.000,266.000
0.800,2175847562376,19,0.353,40.368,523.552,56.232,334.865,1,1,1,1,45.607,-131.663,52.767,97.121,1442.147,2355.888,2355.888,3937.562,1442.147,2355.888,2355.888,3937.562,1442.147,2355.888,2355.888,3937.562,1442.147,2355.888,2355.888,3937.562,281.960,195.548,-43.028,74.944,2884.294,2884.294,15,2175847562656,False,15.000,562.000,18.000,316.000
0.800,2175804665248,19,0.337,101.554,266.754,189.644,290.003,1,1,1,1,145.821,-520.568,269.313,14.398,254.095,412.357,412.357,744.337,254.095,412.357,412.357,744.337,254.095,412.357,412.357,744.337,254.095,412.357,412.357,744.337,184.154,239.823,-187.373,141.856,508.191,508.191,4,2175847561816,False,97.000,291.000,187.000,266.000
0.833,2175847562376,19,0.353,41.888,519.164,57.990,338.102,1,1,1,1,45.607,-131.663,52.767,97.121,1603.681,2487.141,2487.141,3938.562,1603.681,2487.141,2487.141,3938.562,1603.681,2487.141,2487.141,3938.562,1603.681,2487.141,2487.141,3938.562,280.526,198.046,-43.028,74.944,3207.363,3207.363,16,2175847562656,False,15.000,562.000,18.000,316.000
0.833,2175804665248,19,0.337,106.415,249.401,198.621,290.483,1,1,1,1,145.821,-520.568,269.313,14.398,282.513,437.169,437.169,745.337,282.513,437.169,437.169,745.337,282.513,437.169,437.169,745.337,282.513,437.169,437.169,745.337,177.908,244.552,-187.373,141.856,565.026,565.026,5,2175847561816,False,97.000,291.000,187.000,266.000
