time,id,class_id,x,y,z,vx,vy,vz,ax,ay,az,pattern
0.440,2223370926512,7,1.250,-6.607,-30.353,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.440,2223370926008,7,2.625,-0.493,-14.987,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.440,2223370927408,7,0.140,-1.378,-13.649,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.440,2223372514864,7,0.642,1.082,-17.674,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.440,2223372516152,7,-1.142,0.183,-19.855,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.480,2223370926512,7,1.356,-7.100,-32.380,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.480,2223370926008,7,2.567,-0.518,-14.505,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.480,2223370927408,7,0.173,-1.391,-13.345,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.480,2223372514864,7,0.679,1.039,-17.357,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.480,2223372516152,7,-1.099,0.138,-19.500,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.520,2223370926512,7,1.479,-7.663,-34.697,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.520,2223370926008,7,2.518,-0.544,-14.080,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.520,2223370927408,7,0.195,-1.402,-12.995,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.520,2223372514864,7,0.725,1.017,-17.311,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.520,2223372516152,7,-1.063,0.085,-19.329,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.560,2223370926512,7,1.619,-8.313,-37.371,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.560,2223370926008,7,2.518,-0.569,-13.868,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.560,2223370927408,7,0.212,-1.434,-12.806,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.560,2223372514864,7,0.765,0.998,-17.331,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.560,2223372516152,7,-1.015,-0.046,-19.313,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.600,2223370926512,7,1.784,-9.072,-40.493,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.600,2223370926008,7,2.543,-0.608,-13.786,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.600,2223370927408,7,0.239,-1.480,-12.777,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.600,2223372514864,7,0.804,0.991,-17.459,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.600,2223372516152,7,-0.967,-0.159,-19.280,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.640,2223370926512,7,1.978,-9.969,-44.183,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.640,2223370926008,7,2.562,-0.647,-13.667,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.640,2223370927408,7,0.264,-1.510,-12.619,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.640,2223372514864,7,0.839,0.986,-17.669,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.640,2223372516152,7,-0.910,-0.262,-19.098,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.680,2223370926512,7,2.212,-11.046,-48.613,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.680,2223370926008,7,2.595,-0.693,-13.615,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.680,2223370927408,7,0.283,-1.535,-12.427,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.680,2223372514864,7,0.859,0.973,-17.660,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.680,2223372516152,7,-0.863,-0.338,-18.877,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.720,2223370926512,7,2.497,-12.363,-54.030,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
