time,priority,object,text
6.106,3,2134927983056,Detection created
6.139,3,2134927983168,Detection created
6.173,3,2134927983280,Detection created
6.206,3,2134927983392,Detection created
6.240,3,2134927983504,Detection created
6.273,3,2134927983616,Detection created
6.306,3,2134927983728,Detection created
6.340,3,2134927983840,Detection created
6.373,3,2134927983952,Detection created
6.406,3,2134927984064,Detection created
6.440,3,2134927984176,Detection created
6.473,3,2134927984288,Detection created
6.507,3,2134927984400,Detection created
6.540,3,2134927984512,Detection created
6.573,3,2134927984624,Detection created
6.607,3,2134927984736,Detection created
6.640,3,2134927984848,Detection created
6.673,3,2134927984960,Detection created
6.707,3,2134927985072,Detection created
6.740,3,2134927985184,Detection created
6.773,3,2134927985296,Detection created
6.807,3,2134927985408,Detection created
6.840,3,2134927985520,Detection created
6.874,3,2134927985632,Detection created
6.907,3,2134927985744,Detection created
6.940,3,2134927985856,Detection created
6.974,3,2134927985968,Detection created
7.007,3,2134927986080,Detection created
7.040,3,2134927986192,Detection created
7.074,3,2134927986304,Detection created
7.107,3,2134927986416,Detection created
7.140,3,2134927986528,Detection created
7.174,3,2134927986640,Detection created
7.207,3,2134927990912,Detection created
7.241,3,2134927991024,Detection created
7.274,3,2134927991136,Detection created
7.307,3,2134927991248,Detection created
7.341,3,2134927991360,Detection created
7.374,3,2134927991472,Detection created
7.407,3,2134927991584,Detection created
7.441,3,2134927991696,Detection created
7.474,3,2134927991808,Detection created
7.508,3,2134927991920,Detection created
7.541,3,2134927992032,Detection created
7.574,3,2134927992144,Detection created
7.608,3,2134927992256,Detection created
7.641,3,2134927992368,Detection created
7.674,3,2134927992480,Detection created
7.708,3,2134927992592,Detection created
7.741,3,2134927992704,Detection created
7.774,3,2134927992816,Detection created
7.808,3,2134927992928,Detection created
7.841,3,2134927993040,Detection created
7.875,3,2134927993152,Detection created
7.908,3,2134927993264,Detection created
7.941,3,2134927993376,Detection created
7.975,3,2134927993488,Detection created
8.008,3,2134927993600,Detection created
8.041,3,2134927993712,Detection created
8.075,3,2134927993824,Detection created
8.108,3,2134927993936,Detection created
8.141,3,2134927994048,Detection created
8.175,3,2134927994160,Detection created
8.208,3,2134927994272,Detection created
8.242,3,2134927994384,Detection created
8.275,3,2134927994496,Detection created
8.308,3,2134927994608,Detection created
8.342,3,2134927994720,Detection created
8.375,3,2134927994832,Detection created
8.408,3,2134927970432,Detection created
8.442,3,2134927970544,Detection created
8.475,3,2134927970656,Detection created
8.509,3,2134927970768,Detection created
8.542,3,2134927970880,Detection created
8.575,3,2134927970992,Detection created
8.609,3,2134927971104,Detection created
8.642,3,2134927971216,Detection created
8.675,3,2134927971328,Detection created
8.709,3,2134927971440,Detection created
8.742,3,2134927971552,Detection created
8.775,3,2134927971664,Detection created
8.809,3,2134927971776,Detection created
8.842,3,2134927971888,Detection created
8.876,3,2134927972000,Detection created
8.909,3,2134927972112,Detection created
8.942,3,2134927972224,Detection created
8.976,3,2134927972336,Detection created
9.009,3,2134927972448,Detection created
9.042,3,2134927972560,Detection created
9.076,3,2134927972672,Detection created
9.109,3,2134927972784,Detection created
9.142,3,2134927972896,Detection created
9.176,3,2134927973008,Detection created
9.209,3,2134927973120,Detection created
9.243,3,2134927973232,Detection created
9.276,3,2134927973344,Detection created
9.309,3,2134927973456,Detection created
9.343,3,2134927973568,Detection created
9.376,3,2134927973680,Detection created
9.409,3,2134927973792,Detection created
9.443,3,2134927973904,Detection created
9.476,3,2134927974016,Detection created
9.509,3,2134927974128,Detection created
9.543,3,2134927974240,Detection created
9.576,3,2134927974352,Detection created
9.610,3,2134928064640,Detection created
9.643,3,2134928064752,Detection created
9.676,3,2134928064864,Detection created
9.710,3,2134928064976,Detection created
9.743,3,2134928065088,Detection created
9.776,3,2134928065200,Detection created
9.810,3,2134928065312,Detection created
9.843,3,2134928065424,Detection created
9.877,3,2134928065536,Detection created
9.910,3,2134928065648,Detection created
9.943,3,2134928065760,Detection created
9.977,3,2134928065872,Detection created
10.010,3,2134928065984,Detection created
10.043,3,2134928066096,Detection created
10.077,3,2134928066208,Detection created
10.110,3,2134928066320,Detection created
10.143,3,2134928066432,Detection created
10.177,3,2134928066544,Detection created
10.210,3,2134928066656,Detection created
10.244,3,2134928066768,Detection created
10.277,3,2134928066880,Detection created
10.310,3,2134928066992,Detection created
10.344,3,2134928067104,Detection created
10.377,3,2134928067216,Detection created
10.410,3,2134928067328,Detection created
10.444,3,2134928067440,Detection created
10.477,3,2134928067552,Detection created
10.510,3,2134928067664,Detection created
10.544,3,2134928067776,Detection created
10.577,3,2134928067888,Detection created
10.611,3,2134928068000,Detection created
10.644,3,2134928068224,Detection created
10.677,3,2134928068336,Detection created
10.711,3,2134928068448,Detection created
10.744,3,2134928068560,Detection created
10.777,3,2134928068112,Detection created
10.811,3,2134928076872,Detection created
10.844,3,2134928077040,Detection created
10.878,3,2134928077152,Detection created
10.911,3,2134928077264,Detection created
10.944,3,2134928077376,Detection created
10.978,3,2134928077488,Detection created
11.011,3,2134928077600,Detection created
11.044,3,2134928077824,Detection created
11.078,3,2134928077936,Detection created
11.111,3,2134928077712,Detection created
11.144,3,2134928078048,Detection created
11.178,3,2134928078160,Detection created
11.211,3,2134928078272,Detection created
11.245,3,2134928078384,Detection created
11.278,3,2134928078496,Detection created
11.311,3,2134928078608,Detection created
11.345,3,2134928078720,Detection created
11.378,3,2134928078832,Detection created
11.411,3,2134928078944,Detection created
11.445,3,2134928079056,Detection created
11.478,3,2134928079168,Detection created
11.511,3,2134928079280,Detection created
11.545,3,2134928079392,Detection created
11.578,3,2134928079504,Detection created
11.612,3,2134928079616,Detection created
11.645,3,2134928079728,Detection created
11.678,3,2134928079840,Detection created
11.712,3,2134928079952,Detection created
11.745,3,2134928080064,Detection created
11.778,3,2134928080176,Detection created
11.812,3,2134928080288,Detection created
11.845,3,2134928080400,Detection created
11.879,3,2134928080512,Detection created
11.912,3,2134928080624,Detection created
11.945,3,2134928080736,Detection created
11.979,3,2134928080848,Detection created
12.012,3,2134928126080,Detection created
12.045,3,2134928126192,Detection created
12.079,3,2134928126304,Detection created
12.112,3,2134928126416,Detection created
12.145,3,2134928126528,Detection created
12.179,3,2134928126640,Detection created
12.212,3,2134928126752,Detection created
12.246,3,2134928126864,Detection created
12.279,3,2134928126976,Detection created
12.312,3,2134928127088,Detection created
12.346,3,2134928127200,Detection created
12.379,3,2134928127312,Detection created
12.412,3,2134928127424,Detection created
12.446,3,2134928127536,Detection created
12.479,3,2134928127648,Detection created
12.512,3,2134928127760,Detection created
12.546,3,2134928127872,Detection created
12.579,3,2134928127984,Detection created
12.613,3,2134928128096,Detection created
12.646,3,2134928128208,Detection created
12.679,3,2134928128320,Detection created
12.713,3,2134928128432,Detection created
12.746,3,2134928128544,Detection created
12.779,3,2134928128656,Detection created
12.813,3,2134928128768,Detection created
12.846,3,2134928128880,Detection created
12.880,3,2134928128992,Detection created
12.913,3,2134928129104,Detection created
12.946,3,2134928129216,Detection created
12.980,3,2134928129328,Detection created
13.013,3,2134928129440,Detection created
13.046,3,2134928129552,Detection created
13.080,3,2134928129664,Detection created
13.113,3,2134928129776,Detection created
13.146,3,2134928129888,Detection created
13.180,3,2134928130000,Detection created
13.213,3,2134962376832,Detection created
13.247,3,2134962376944,Detection created
13.280,3,2134962377056,Detection created
13.313,3,2134962377168,Detection created
13.347,3,2134962377280,Detection created
13.380,3,2134962377392,Detection created
13.413,3,2134962377504,Detection created
13.447,3,2134962377616,Detection created
13.480,3,2134962377728,Detection created
13.513,3,2134962377840,Detection created
13.547,3,2134962377952,Detection created
13.580,3,2134962378064,Detection created
13.614,3,2134962378176,Detection created
13.647,3,2134962378288,Detection created
13.680,3,2134962378400,Detection created
13.714,3,2134962378512,Detection created
13.747,3,2134962378624,Detection created
13.780,3,2134962378736,Detection created
13.814,3,2134962378848,Detection created
13.847,3,2134962378960,Detection created
13.881,3,2134962379072,Detection created
13.914,3,2134962379184,Detection created
13.947,3,2134962379296,Detection created
13.981,3,2134962379408,Detection created
14.014,3,2134962379520,Detection created
14.047,3,2134962379632,Detection created
14.081,3,2134962379744,Detection created
14.114,3,2134962379856,Detection created
14.147,3,2134962379968,Detection created
14.181,3,2134962380080,Detection created
14.214,3,2134962380192,Detection created
14.248,3,2134962380304,Detection created
14.281,3,2134962380416,Detection created
14.314,3,2134962380528,Detection created
14.348,3,2134962380640,Detection created
14.381,3,2134962380752,Detection created
